Designator,Mid X,Mid Y,Rotation,Layer
C1,100.0,-143.5,270.0,top
J6_3,93.431,-143.622,180.0,bottom
J6_2,106.69,-144.749001,180.0,bottom
J6,119.69,-144.749001,180.0,bottom
